"Name","dataset","noise","model","seed_group","noise_mean","noise_std","test/accuracy","test/rre","test/nmi"
"sparkling-sweep-75","orl","gaussian","l1_robust","e44b7d8887aa05bfc70ee7b7dbf0b2e56b9c2b23a73205ef6e8ad431db6ad1e4","0","0.4","0.41388888888888886","0.33904601996269373","0.5822652966296565"
"solar-sweep-74","orl","gaussian","l1_robust","e44b7d8887aa05bfc70ee7b7dbf0b2e56b9c2b23a73205ef6e8ad431db6ad1e4","0","0.4","0.41388888888888886","0.33628240418885275","0.6009663769169235"
"super-sweep-73","orl","gaussian","l1_robust","e44b7d8887aa05bfc70ee7b7dbf0b2e56b9c2b23a73205ef6e8ad431db6ad1e4","0","0.4","0.41388888888888886","0.33401399352000344","0.5920806377821938"
"fiery-sweep-72","orl","gaussian","l1_robust","e44b7d8887aa05bfc70ee7b7dbf0b2e56b9c2b23a73205ef6e8ad431db6ad1e4","0","0.4","0.4111111111111111","0.3348512651378002","0.5896333953037595"
"elated-sweep-71","orl","gaussian","l1_robust","e44b7d8887aa05bfc70ee7b7dbf0b2e56b9c2b23a73205ef6e8ad431db6ad1e4","0","0.4","0.38333333333333336","0.3402156548665479","0.5705439772316219"
"floral-sweep-70","orl","gaussian","l1_robust","f2d827350269498f754002229895cbc7044b3c637aee8829c09b22cce54fbf56","0","0.2","0.7416666666666667","0.20872867509292992","0.8516326960066005"
"earthy-sweep-69","orl","gaussian","l1_robust","f2d827350269498f754002229895cbc7044b3c637aee8829c09b22cce54fbf56","0","0.2","0.7083333333333334","0.2092717342606459","0.835838732848558"
"sunny-sweep-68","orl","gaussian","l1_robust","f2d827350269498f754002229895cbc7044b3c637aee8829c09b22cce54fbf56","0","0.2","0.6888888888888889","0.20683584592266355","0.8174061171116229"
"light-sweep-67","orl","gaussian","l1_robust","f2d827350269498f754002229895cbc7044b3c637aee8829c09b22cce54fbf56","0","0.2","0.6833333333333333","0.20774514842261776","0.817114969790447"
"easy-sweep-66","orl","gaussian","l1_robust","f2d827350269498f754002229895cbc7044b3c637aee8829c09b22cce54fbf56","0","0.2","0.7138888888888889","0.20915068057482492","0.8351863831697859"
"sweet-sweep-65","orl","gaussian","l1_robust","ff48d20677976d9e4233d5925df7be64db4095f791384161e0b6c0635a83f737","0","0.1","0.7444444444444445","0.1600376491924801","0.8554705912555101"
"vocal-sweep-64","orl","gaussian","l1_robust","ff48d20677976d9e4233d5925df7be64db4095f791384161e0b6c0635a83f737","0","0.1","0.7638888888888888","0.1603762923183995","0.8729406599871602"
"dutiful-sweep-63","orl","gaussian","l1_robust","ff48d20677976d9e4233d5925df7be64db4095f791384161e0b6c0635a83f737","0","0.1","0.7","0.1588924288019949","0.8410858006348381"
"floral-sweep-62","orl","gaussian","l1_robust","ff48d20677976d9e4233d5925df7be64db4095f791384161e0b6c0635a83f737","0","0.1","0.75","0.15893107447063115","0.8591959273713302"
"pleasant-sweep-61","orl","gaussian","l1_robust","ff48d20677976d9e4233d5925df7be64db4095f791384161e0b6c0635a83f737","0","0.1","0.7361111111111112","0.15998270175939217","0.8397057586919364"
"rosy-sweep-45","orl","gaussian","l21","2728e86c52f7f6406be3d9a04f3ce51e4de2b6e5431a929b00caa6d31372d060","0","0.4","0.3944444444444444","0.2981823091658365","0.5614011277226292"
"giddy-sweep-44","orl","gaussian","l21","2728e86c52f7f6406be3d9a04f3ce51e4de2b6e5431a929b00caa6d31372d060","0","0.4","0.4527777777777778","0.29770708215034547","0.6076595002101098"
"fast-sweep-43","orl","gaussian","l21","2728e86c52f7f6406be3d9a04f3ce51e4de2b6e5431a929b00caa6d31372d060","0","0.4","0.38333333333333336","0.29734541208139104","0.5555473741010135"
"electric-sweep-42","orl","gaussian","l21","2728e86c52f7f6406be3d9a04f3ce51e4de2b6e5431a929b00caa6d31372d060","0","0.4","0.425","0.29676406312704695","0.5827298389502645"
"frosty-sweep-41","orl","gaussian","l21","2728e86c52f7f6406be3d9a04f3ce51e4de2b6e5431a929b00caa6d31372d060","0","0.4","0.35833333333333334","0.29958586598795744","0.5427670168782658"
