"Name","dataset","noise","model","seed_group","noise_blocks","noise_blocksize","test/accuracy","test/rre","test/nmi"
"decent-sweep-60","orl","missing_block","l1_robust","4e351a7f9743b3f921111672f9efed39e378deb2322a02ca7cf2d4b7bb3ed188","16","8","0.21666666666666667","0.5851332996211993","0.39854191920140103"
"legendary-sweep-59","orl","missing_block","l1_robust","4e351a7f9743b3f921111672f9efed39e378deb2322a02ca7cf2d4b7bb3ed188","16","8","0.2111111111111111","0.5887689157579292","0.3889572662428272"
"sleek-sweep-58","orl","missing_block","l1_robust","4e351a7f9743b3f921111672f9efed39e378deb2322a02ca7cf2d4b7bb3ed188","16","8","0.2361111111111111","0.5822315555288478","0.4349635119918491"
"upbeat-sweep-57","orl","missing_block","l1_robust","4e351a7f9743b3f921111672f9efed39e378deb2322a02ca7cf2d4b7bb3ed188","16","8","0.2388888888888889","0.5853814285619537","0.4333945713814751"
"skilled-sweep-56","orl","missing_block","l1_robust","4e351a7f9743b3f921111672f9efed39e378deb2322a02ca7cf2d4b7bb3ed188","16","8","0.20555555555555555","0.5869942777581415","0.3955941329054063"
"fanciful-sweep-55","orl","missing_block","l1_robust","e12d384a14657d07684c512b760f4e1c35cf75480ee2f3c82385d40176ebfd76","16","4","0.6722222222222223","0.18438557899142083","0.8173325376937824"
"efficient-sweep-54","orl","missing_block","l1_robust","e12d384a14657d07684c512b760f4e1c35cf75480ee2f3c82385d40176ebfd76","16","4","0.6888888888888889","0.18336584857228744","0.8263420865251966"
"dandy-sweep-53","orl","missing_block","l1_robust","e12d384a14657d07684c512b760f4e1c35cf75480ee2f3c82385d40176ebfd76","16","4","0.7083333333333334","0.1825601390559725","0.8201125916915872"
"hopeful-sweep-52","orl","missing_block","l1_robust","e12d384a14657d07684c512b760f4e1c35cf75480ee2f3c82385d40176ebfd76","16","4","0.7027777777777777","0.18457237425637907","0.8295283839957877"
"fanciful-sweep-51","orl","missing_block","l1_robust","e12d384a14657d07684c512b760f4e1c35cf75480ee2f3c82385d40176ebfd76","16","4","0.7027777777777777","0.1843271739934323","0.8294583756392168"
"laced-sweep-50","orl","missing_block","l1_robust","614fa5c1b134d3ad9fb01d261054347537c98df590252302475602c368f52080","8","8","0.26666666666666666","0.4305046389219203","0.4511047218167432"
"desert-sweep-49","orl","missing_block","l1_robust","614fa5c1b134d3ad9fb01d261054347537c98df590252302475602c368f52080","8","8","0.3138888888888889","0.4296903683615564","0.5079497186672393"
"charmed-sweep-48","orl","missing_block","l1_robust","614fa5c1b134d3ad9fb01d261054347537c98df590252302475602c368f52080","8","8","0.2916666666666667","0.4199700617250688","0.47449771647866945"
"deft-sweep-47","orl","missing_block","l1_robust","614fa5c1b134d3ad9fb01d261054347537c98df590252302475602c368f52080","8","8","0.28055555555555556","0.4202645090745458","0.476271198442535"
"apricot-sweep-46","orl","missing_block","l1_robust","614fa5c1b134d3ad9fb01d261054347537c98df590252302475602c368f52080","8","8","0.2722222222222222","0.4251557440419723","0.46363297168018386"
"efficient-sweep-45","orl","missing_block","l1_robust","f875595610da5c16808b6aa7f6d19a66e5988bfbadd8ace0042f24c7bd5a839f","8","4","0.7111111111111111","0.15818648140324948","0.8373490417227059"
"vibrant-sweep-44","orl","missing_block","l1_robust","f875595610da5c16808b6aa7f6d19a66e5988bfbadd8ace0042f24c7bd5a839f","8","4","0.75","0.15842983398112392","0.8696569960034843"
"stellar-sweep-43","orl","missing_block","l1_robust","f875595610da5c16808b6aa7f6d19a66e5988bfbadd8ace0042f24c7bd5a839f","8","4","0.7388888888888889","0.15847403374874425","0.8577596578327491"
"stilted-sweep-42","orl","missing_block","l1_robust","f875595610da5c16808b6aa7f6d19a66e5988bfbadd8ace0042f24c7bd5a839f","8","4","0.7055555555555556","0.15938815727853567","0.8408166658464553"
"spring-sweep-41","orl","missing_block","l1_robust","f875595610da5c16808b6aa7f6d19a66e5988bfbadd8ace0042f24c7bd5a839f","8","4","0.7527777777777778","0.15926982161082567","0.8546474188460982"
"laced-sweep-40","orl","missing_block","l21","7b47a85a49711ed31ea9fa95a1d83af4433f48fdcff0a2e7a48ebd2c7c6a8e65","16","8","0.20833333333333337","0.5621035719827175","0.38951299183993426"
"effortless-sweep-39","orl","missing_block","l21","7b47a85a49711ed31ea9fa95a1d83af4433f48fdcff0a2e7a48ebd2c7c6a8e65","16","8","0.2111111111111111","0.5671274879401446","0.4056976982706757"
"dark-sweep-38","orl","missing_block","l21","7b47a85a49711ed31ea9fa95a1d83af4433f48fdcff0a2e7a48ebd2c7c6a8e65","16","8","0.22777777777777777","0.5617619656052368","0.42438583575017974"
"lunar-sweep-37","orl","missing_block","l21","7b47a85a49711ed31ea9fa95a1d83af4433f48fdcff0a2e7a48ebd2c7c6a8e65","16","8","0.2111111111111111","0.5624893467196669","0.4085280352539156"
"noble-sweep-36","orl","missing_block","l21","7b47a85a49711ed31ea9fa95a1d83af4433f48fdcff0a2e7a48ebd2c7c6a8e65","16","8","0.19444444444444445","0.566458982911728","0.3859489159019432"
"misunderstood-sweep-35","orl","missing_block","l21","076dc2f571b73db681d59dd13aa96146ae40c293ccd8e4234eb47a580246c37d","16","4","0.4694444444444445","0.2675658046218516","0.6209631102865814"
"spring-sweep-34","orl","missing_block","l21","076dc2f571b73db681d59dd13aa96146ae40c293ccd8e4234eb47a580246c37d","16","4","0.49444444444444446","0.26900745287463623","0.6506105113476754"
"pleasant-sweep-33","orl","missing_block","l21","076dc2f571b73db681d59dd13aa96146ae40c293ccd8e4234eb47a580246c37d","16","4","0.4805555555555556","0.26721655852495446","0.6494831916055004"
"dry-sweep-32","orl","missing_block","l21","076dc2f571b73db681d59dd13aa96146ae40c293ccd8e4234eb47a580246c37d","16","4","0.45555555555555555","0.26701545953277733","0.6357210622242013"
"rose-sweep-31","orl","missing_block","l21","076dc2f571b73db681d59dd13aa96146ae40c293ccd8e4234eb47a580246c37d","16","4","0.4305555555555556","0.26906420983353563","0.6011302627446031"
"icy-sweep-30","orl","missing_block","l21","b82ccb0956d2e95cbb717b961ab35d1b2051fc8a0e49dec121434c1ea5d97abb","8","8","0.24722222222222223","0.42400434186097","0.4347829567002495"
"resilient-sweep-29","orl","missing_block","l21","b82ccb0956d2e95cbb717b961ab35d1b2051fc8a0e49dec121434c1ea5d97abb","8","8","0.24722222222222223","0.4253107560251416","0.4372236360524801"
"misunderstood-sweep-28","orl","missing_block","l21","b82ccb0956d2e95cbb717b961ab35d1b2051fc8a0e49dec121434c1ea5d97abb","8","8","0.2916666666666667","0.4176409082024179","0.46704336760361587"
"vocal-sweep-27","orl","missing_block","l21","b82ccb0956d2e95cbb717b961ab35d1b2051fc8a0e49dec121434c1ea5d97abb","8","8","0.25833333333333336","0.41791026618003446","0.439045786047462"
"rose-sweep-26","orl","missing_block","l21","b82ccb0956d2e95cbb717b961ab35d1b2051fc8a0e49dec121434c1ea5d97abb","8","8","0.26944444444444443","0.4231636568158449","0.4509500831155945"
"confused-sweep-25","orl","missing_block","l21","1d870fd68386e2742e3445d8c927d068c654a823a9e0b40d3c72b5fa9ee081f4","8","4","0.6166666666666667","0.21494311001134292","0.7493628387822875"
"worldly-sweep-24","orl","missing_block","l21","1d870fd68386e2742e3445d8c927d068c654a823a9e0b40d3c72b5fa9ee081f4","8","4","0.625","0.21230225475116904","0.7510952858226883"
"northern-sweep-23","orl","missing_block","l21","1d870fd68386e2742e3445d8c927d068c654a823a9e0b40d3c72b5fa9ee081f4","8","4","0.6","0.21346588299989727","0.7362351137147584"
"noble-sweep-22","orl","missing_block","l21","1d870fd68386e2742e3445d8c927d068c654a823a9e0b40d3c72b5fa9ee081f4","8","4","0.6","0.21287415764111337","0.7537385028414155"
"ruby-sweep-21","orl","missing_block","l21","1d870fd68386e2742e3445d8c927d068c654a823a9e0b40d3c72b5fa9ee081f4","8","4","0.5833333333333334","0.2131721135388446","0.7509848463924292"
"toasty-sweep-20","orl","missing_block","standard","fe72c391f4b75840e8c0d4ec173b4efaa07cac9ac19c2c0afa7056bd25566123","16","8","0.21666666666666667","0.5628846897389715","0.40280756704082105"
"trim-sweep-19","orl","missing_block","standard","fe72c391f4b75840e8c0d4ec173b4efaa07cac9ac19c2c0afa7056bd25566123","16","8","0.21666666666666667","0.5681619985835789","0.401133199969259"
"olive-sweep-18","orl","missing_block","standard","fe72c391f4b75840e8c0d4ec173b4efaa07cac9ac19c2c0afa7056bd25566123","16","8","0.21666666666666667","0.562303512540179","0.42572837571831273"
"icy-sweep-17","orl","missing_block","standard","fe72c391f4b75840e8c0d4ec173b4efaa07cac9ac19c2c0afa7056bd25566123","16","8","0.2","0.5625646722735783","0.4039803080343311"
"fanciful-sweep-16","orl","missing_block","standard","fe72c391f4b75840e8c0d4ec173b4efaa07cac9ac19c2c0afa7056bd25566123","16","8","0.20833333333333337","0.567181173681617","0.4045887178625115"
"classic-sweep-15","orl","missing_block","standard","27a30c5e9b474db8f5de42d4b84b770536022da12e39a6d5a53041f8c3b29f28","16","4","0.4666666666666667","0.268003616488829","0.62822586434698"
"dutiful-sweep-14","orl","missing_block","standard","27a30c5e9b474db8f5de42d4b84b770536022da12e39a6d5a53041f8c3b29f28","16","4","0.5055555555555555","0.2693440202186991","0.6673377291635367"
"eternal-sweep-13","orl","missing_block","standard","27a30c5e9b474db8f5de42d4b84b770536022da12e39a6d5a53041f8c3b29f28","16","4","0.4722222222222222","0.2677008259857079","0.6397868309493062"
"wild-sweep-12","orl","missing_block","standard","27a30c5e9b474db8f5de42d4b84b770536022da12e39a6d5a53041f8c3b29f28","16","4","0.49166666666666664","0.26749146962219705","0.6491730412276862"
"logical-sweep-11","orl","missing_block","standard","27a30c5e9b474db8f5de42d4b84b770536022da12e39a6d5a53041f8c3b29f28","16","4","0.44166666666666665","0.26950575974514346","0.6281697712160706"
"peach-sweep-10","orl","missing_block","standard","5eec4ddcf140337d3e14f94406410f5e08e9cf9a384da0157ef0925b87f7e407","8","8","0.26666666666666666","0.4245270634399883","0.45284105227283794"
