"Name","dataset","noise","model","seed_group","noise_mean","noise_std","test/accuracy","test/rre","test/nmi"
"wobbly-sweep-90","orl","uniform","l1_robust","98a8a7008131515f9906e9c5ed77b214047a9528fc54f73b1a75fab6ca33a4f7","0","0.4","0.3055555555555556","0.3992117122287393","0.49917596409361886"
"bumbling-sweep-89","orl","uniform","l1_robust","98a8a7008131515f9906e9c5ed77b214047a9528fc54f73b1a75fab6ca33a4f7","0","0.4","0.30833333333333335","0.3965927597285652","0.48733235651080387"
"lyric-sweep-88","orl","uniform","l1_robust","98a8a7008131515f9906e9c5ed77b214047a9528fc54f73b1a75fab6ca33a4f7","0","0.4","0.2861111111111111","0.3970830079902689","0.473834576389431"
"balmy-sweep-87","orl","uniform","l1_robust","98a8a7008131515f9906e9c5ed77b214047a9528fc54f73b1a75fab6ca33a4f7","0","0.4","0.31666666666666665","0.3941076247551652","0.495142356589795"
"clear-sweep-86","orl","uniform","l1_robust","98a8a7008131515f9906e9c5ed77b214047a9528fc54f73b1a75fab6ca33a4f7","0","0.4","0.2861111111111111","0.3969951458322865","0.47086470192885344"
"daily-sweep-85","orl","uniform","l1_robust","4b1e7214449ecbfb75b2c24d1e0952e6a9ba7450d9d94720272e277d3d605281","0","0.2","0.7138888888888889","0.2305655509034477","0.8206607068884059"
"stilted-sweep-84","orl","uniform","l1_robust","4b1e7214449ecbfb75b2c24d1e0952e6a9ba7450d9d94720272e277d3d605281","0","0.2","0.6833333333333333","0.2297253512736311","0.8096174784430449"
"curious-sweep-83","orl","uniform","l1_robust","4b1e7214449ecbfb75b2c24d1e0952e6a9ba7450d9d94720272e277d3d605281","0","0.2","0.6861111111111111","0.22917909521823135","0.8211203218695184"
"fresh-sweep-82","orl","uniform","l1_robust","4b1e7214449ecbfb75b2c24d1e0952e6a9ba7450d9d94720272e277d3d605281","0","0.2","0.6666666666666666","0.22931860014623864","0.8021325139956178"
"atomic-sweep-81","orl","uniform","l1_robust","4b1e7214449ecbfb75b2c24d1e0952e6a9ba7450d9d94720272e277d3d605281","0","0.2","0.6333333333333333","0.23029995526298125","0.777079323882317"
"fancy-sweep-80","orl","uniform","l1_robust","639cd4805c8288505b2b466514dbbe61dd844e38db911dd09c4e81f97558650d","0","0.1","0.7333333333333333","0.1615719344636578","0.8583396036236977"
"devout-sweep-79","orl","uniform","l1_robust","639cd4805c8288505b2b466514dbbe61dd844e38db911dd09c4e81f97558650d","0","0.1","0.7555555555555555","0.16225476883490958","0.8667700869562184"
"desert-sweep-78","orl","uniform","l1_robust","639cd4805c8288505b2b466514dbbe61dd844e38db911dd09c4e81f97558650d","0","0.1","0.7138888888888889","0.161540387968176","0.8438248327912254"
"hearty-sweep-77","orl","uniform","l1_robust","639cd4805c8288505b2b466514dbbe61dd844e38db911dd09c4e81f97558650d","0","0.1","0.7694444444444445","0.16115628072681645","0.8750274910647398"
"dazzling-sweep-76","orl","uniform","l1_robust","639cd4805c8288505b2b466514dbbe61dd844e38db911dd09c4e81f97558650d","0","0.1","0.7388888888888889","0.1628339026975123","0.8577579441391847"
"eternal-sweep-60","orl","uniform","l21","0218875cf57bbee70fba1e311d2118a7f5d4997c31c43986a08dfad239fb20f4","0","0.4","0.3277777777777778","0.32036627452776884","0.5197296254196334"
"glowing-sweep-59","orl","uniform","l21","0218875cf57bbee70fba1e311d2118a7f5d4997c31c43986a08dfad239fb20f4","0","0.4","0.33055555555555555","0.3187831784010711","0.5065458612815631"
"light-sweep-58","orl","uniform","l21","0218875cf57bbee70fba1e311d2118a7f5d4997c31c43986a08dfad239fb20f4","0","0.4","0.3888888888888889","0.31920634063059494","0.5410529083914778"
"radiant-sweep-57","orl","uniform","l21","0218875cf57bbee70fba1e311d2118a7f5d4997c31c43986a08dfad239fb20f4","0","0.4","0.36666666666666664","0.31625478310031696","0.5473638145322886"
"apricot-sweep-56","orl","uniform","l21","0218875cf57bbee70fba1e311d2118a7f5d4997c31c43986a08dfad239fb20f4","0","0.4","0.325","0.3181808346150912","0.5125759408040348"
"curious-sweep-55","orl","uniform","l21","981b6f9c9ad95ae11ee1d7c0b333017d91fb0e812c3182681baef0745f9c173d","0","0.2","0.7","0.20654729239109457","0.8017430794135553"
"feasible-sweep-54","orl","uniform","l21","981b6f9c9ad95ae11ee1d7c0b333017d91fb0e812c3182681baef0745f9c173d","0","0.2","0.7027777777777777","0.2060412270843804","0.8333742728141058"
"dazzling-sweep-53","orl","uniform","l21","981b6f9c9ad95ae11ee1d7c0b333017d91fb0e812c3182681baef0745f9c173d","0","0.2","0.7194444444444444","0.2070913177844367","0.832646919061049"
"easy-sweep-52","orl","uniform","l21","981b6f9c9ad95ae11ee1d7c0b333017d91fb0e812c3182681baef0745f9c173d","0","0.2","0.6666666666666666","0.2061150326027596","0.8087324943890535"
"restful-sweep-51","orl","uniform","l21","981b6f9c9ad95ae11ee1d7c0b333017d91fb0e812c3182681baef0745f9c173d","0","0.2","0.65","0.20683975775998872","0.7841302295166764"
"dry-sweep-50","orl","uniform","l21","9b474f377b9f2d2d3e629e4f6fb1346fe7bc194667b2849ee83f999bf50d13bb","0","0.1","0.7527777777777778","0.1618276162179494","0.8550974445729949"
"colorful-sweep-49","orl","uniform","l21","9b474f377b9f2d2d3e629e4f6fb1346fe7bc194667b2849ee83f999bf50d13bb","0","0.1","0.7583333333333333","0.16300239200700634","0.8658412114915032"
"warm-sweep-48","orl","uniform","l21","9b474f377b9f2d2d3e629e4f6fb1346fe7bc194667b2849ee83f999bf50d13bb","0","0.1","0.7444444444444445","0.162792819242645","0.8525870753329173"
"misunderstood-sweep-47","orl","uniform","l21","9b474f377b9f2d2d3e629e4f6fb1346fe7bc194667b2849ee83f999bf50d13bb","0","0.1","0.6833333333333333","0.161732490076761","0.8337154323815337"
"super-sweep-46","orl","uniform","l21","9b474f377b9f2d2d3e629e4f6fb1346fe7bc194667b2849ee83f999bf50d13bb","0","0.1","0.7333333333333333","0.16349210719086396","0.8513720585577372"
"eager-sweep-30","orl","uniform","standard","915adb625a31f8d3a8014bba9b132b4b56dd779506114e6198b5c5e3bb94634c","0","0.4","0.28888888888888886","0.3204225465163197","0.46442825433899615"
"desert-sweep-29","orl","uniform","standard","915adb625a31f8d3a8014bba9b132b4b56dd779506114e6198b5c5e3bb94634c","0","0.4","0.3527777777777778","0.3188610378114059","0.5224729689975698"
"celestial-sweep-28","orl","uniform","standard","915adb625a31f8d3a8014bba9b132b4b56dd779506114e6198b5c5e3bb94634c","0","0.4","0.3611111111111111","0.31929239750483857","0.5421767936561532"
"rosy-sweep-27","orl","uniform","standard","915adb625a31f8d3a8014bba9b132b4b56dd779506114e6198b5c5e3bb94634c","0","0.4","0.33055555555555555","0.316332277036059","0.5232269535005928"
"faithful-sweep-26","orl","uniform","standard","915adb625a31f8d3a8014bba9b132b4b56dd779506114e6198b5c5e3bb94634c","0","0.4","0.33611111111111114","0.31821432601094274","0.5225724434187727"
"golden-sweep-25","orl","uniform","standard","2cf9e4117bca4bedb2f68d11c4d11a286df21eb9f0b7006ce458489bc955e24c","0","0.2","0.6805555555555556","0.20643256024090453","0.8021120059465298"
"silver-sweep-24","orl","uniform","standard","2cf9e4117bca4bedb2f68d11c4d11a286df21eb9f0b7006ce458489bc955e24c","0","0.2","0.6444444444444445","0.20599376003506067","0.7891473840296753"
"dark-sweep-23","orl","uniform","standard","2cf9e4117bca4bedb2f68d11c4d11a286df21eb9f0b7006ce458489bc955e24c","0","0.2","0.6833333333333333","0.20704394066980197","0.8180892366179456"
"cerulean-sweep-22","orl","uniform","standard","2cf9e4117bca4bedb2f68d11c4d11a286df21eb9f0b7006ce458489bc955e24c","0","0.2","0.6777777777777778","0.20600097518504873","0.814823032993225"
"magic-sweep-21","orl","uniform","standard","2cf9e4117bca4bedb2f68d11c4d11a286df21eb9f0b7006ce458489bc955e24c","0","0.2","0.6666666666666666","0.206689114353787","0.7917775340410294"
"dauntless-sweep-20","orl","uniform","standard","0c3b4b02b5bab39af841237d8e1839387c22d4e0ea4db2af998b1aeccad1c35c","0","0.1","0.7666666666666667","0.16170025142379385","0.8648391380159184"
"efficient-sweep-19","orl","uniform","standard","0c3b4b02b5bab39af841237d8e1839387c22d4e0ea4db2af998b1aeccad1c35c","0","0.1","0.7583333333333333","0.16273260727882868","0.8697226589514507"
"denim-sweep-18","orl","uniform","standard","0c3b4b02b5bab39af841237d8e1839387c22d4e0ea4db2af998b1aeccad1c35c","0","0.1","0.7694444444444445","0.16259867753026774","0.870623942806282"
"vague-sweep-17","orl","uniform","standard","0c3b4b02b5bab39af841237d8e1839387c22d4e0ea4db2af998b1aeccad1c35c","0","0.1","0.7166666666666667","0.16162093921597068","0.8399959439589428"
"stilted-sweep-16","orl","uniform","standard","0c3b4b02b5bab39af841237d8e1839387c22d4e0ea4db2af998b1aeccad1c35c","0","0.1","0.7583333333333333","0.1633431416699195","0.8640198961244775"
