"Name","dataset","noise","model","seed_group","noise_mean","noise_std","test/accuracy","test/rre","test/nmi"
"woven-sweep-165","yaleb","gaussian","l1_robust","051100acd131811e24e513acc59270d9966723b5512e027c04096823a8570ae3","0","0.4","0.16206261510128914","0.30558871517563907","0.20114385762981837"
"flowing-sweep-164","yaleb","gaussian","l1_robust","051100acd131811e24e513acc59270d9966723b5512e027c04096823a8570ae3","0","0.4","0.15653775322283608","0.3064555373565422","0.18477900419391663"
"dauntless-sweep-163","yaleb","gaussian","l1_robust","051100acd131811e24e513acc59270d9966723b5512e027c04096823a8570ae3","0","0.4","0.13443830570902393","0.3066916641156674","0.1529290729621771"
"playful-sweep-162","yaleb","gaussian","l1_robust","051100acd131811e24e513acc59270d9966723b5512e027c04096823a8570ae3","0","0.4","0.1652854511970534","0.3026677344526218","0.1860619901150694"
"different-sweep-161","yaleb","gaussian","l1_robust","051100acd131811e24e513acc59270d9966723b5512e027c04096823a8570ae3","0","0.4","0.1505524861878453","0.30435206609639903","0.1788541354226997"
"treasured-sweep-160","yaleb","gaussian","l1_robust","4d557bc8c671b67ff98af500a4f309931ee77f630c9bb5fb402d6f26ae35f3e7","0","0.2","0.1910681399631676","0.22499759978838263","0.23359133146894495"
"worldly-sweep-159","yaleb","gaussian","l1_robust","4d557bc8c671b67ff98af500a4f309931ee77f630c9bb5fb402d6f26ae35f3e7","0","0.2","0.17725598526703498","0.22591879534720896","0.220522429915519"
"hearty-sweep-158","yaleb","gaussian","l1_robust","4d557bc8c671b67ff98af500a4f309931ee77f630c9bb5fb402d6f26ae35f3e7","0","0.2","0.16896869244935545","0.2252391554817248","0.21494384555412768"
"youthful-sweep-157","yaleb","gaussian","l1_robust","4d557bc8c671b67ff98af500a4f309931ee77f630c9bb5fb402d6f26ae35f3e7","0","0.2","0.1837016574585635","0.22430585418538676","0.2056216386625686"
"wild-sweep-156","yaleb","gaussian","l1_robust","4d557bc8c671b67ff98af500a4f309931ee77f630c9bb5fb402d6f26ae35f3e7","0","0.2","0.18186003683241253","0.22409572803484337","0.2347243551323138"
"copper-sweep-155","yaleb","gaussian","l1_robust","6275388621a10dca80b2582657a5923646d9490314d44a3b0bd959445c63aa3b","0","0.1","0.17955801104972377","0.19947616546516164","0.221366112429436"
"lemon-sweep-154","yaleb","gaussian","l1_robust","6275388621a10dca80b2582657a5923646d9490314d44a3b0bd959445c63aa3b","0","0.1","0.1625230202578269","0.19966712805840284","0.1963864002819168"
"true-sweep-153","yaleb","gaussian","l1_robust","6275388621a10dca80b2582657a5923646d9490314d44a3b0bd959445c63aa3b","0","0.1","0.18922651933701656","0.20071504662289483","0.23487778544752488"
"leafy-sweep-152","yaleb","gaussian","l1_robust","6275388621a10dca80b2582657a5923646d9490314d44a3b0bd959445c63aa3b","0","0.1","0.1910681399631676","0.2000660373670208","0.2419454696178026"
"stellar-sweep-151","yaleb","gaussian","l1_robust","6275388621a10dca80b2582657a5923646d9490314d44a3b0bd959445c63aa3b","0","0.1","0.19659300184162065","0.19991889274697952","0.26373366223267364"
"morning-sweep-135","yaleb","gaussian","l21","39e6af5dc1a602a4dd3b3324bfc64988ca022833a547dac361664a6d3aa75a3f","0","0.4","0.16482504604051565","0.38388924369783706","0.1942761686621931"
"eternal-sweep-134","yaleb","gaussian","l21","39e6af5dc1a602a4dd3b3324bfc64988ca022833a547dac361664a6d3aa75a3f","0","0.4","0.17633517495395948","0.3839805220075868","0.21354919699369448"
"legendary-sweep-133","yaleb","gaussian","l21","39e6af5dc1a602a4dd3b3324bfc64988ca022833a547dac361664a6d3aa75a3f","0","0.4","0.1634438305709024","0.3864866077178517","0.1848076825564112"
"snowy-sweep-132","yaleb","gaussian","l21","39e6af5dc1a602a4dd3b3324bfc64988ca022833a547dac361664a6d3aa75a3f","0","0.4","0.1574585635359116","0.3828438423756792","0.18979775462237447"
"serene-sweep-131","yaleb","gaussian","l21","39e6af5dc1a602a4dd3b3324bfc64988ca022833a547dac361664a6d3aa75a3f","0","0.4","0.16114180478821363","0.3847927918227283","0.2015881935169529"
"proud-sweep-130","yaleb","gaussian","l21","c2811df39d4e0ec2df22910ea753dccdae7a8e9e8beebd9766aa615bc72bdfdd","0","0.2","0.21316758747697975","0.2466160602429708","0.2615579544607508"
"bright-sweep-129","yaleb","gaussian","l21","c2811df39d4e0ec2df22910ea753dccdae7a8e9e8beebd9766aa615bc72bdfdd","0","0.2","0.1910681399631676","0.2465257670927574","0.25012866795908234"
"expert-sweep-128","yaleb","gaussian","l21","c2811df39d4e0ec2df22910ea753dccdae7a8e9e8beebd9766aa615bc72bdfdd","0","0.2","0.1860036832412523","0.24673234593477372","0.24812217542056564"
"mild-sweep-127","yaleb","gaussian","l21","c2811df39d4e0ec2df22910ea753dccdae7a8e9e8beebd9766aa615bc72bdfdd","0","0.2","0.2214548802946593","0.24539525015268143","0.27250905286318433"
"dauntless-sweep-126","yaleb","gaussian","l21","c2811df39d4e0ec2df22910ea753dccdae7a8e9e8beebd9766aa615bc72bdfdd","0","0.2","0.19751381215469613","0.24792202151730047","0.25679900770607395"
"fresh-sweep-125","yaleb","gaussian","l21","4198351a030cf6837b6a8f9d9e363f11a9a4e85cfe3d2d4faf0684626f1b8a3f","0","0.1","0.2361878453038674","0.20771885807893076","0.28168155869583633"
"warm-sweep-124","yaleb","gaussian","l21","4198351a030cf6837b6a8f9d9e363f11a9a4e85cfe3d2d4faf0684626f1b8a3f","0","0.1","0.21500920810313076","0.20742459808446376","0.2730225176198626"
"usual-sweep-123","yaleb","gaussian","l21","4198351a030cf6837b6a8f9d9e363f11a9a4e85cfe3d2d4faf0684626f1b8a3f","0","0.1","0.2104051565377532","0.2088741349399808","0.2630029424637816"
"balmy-sweep-122","yaleb","gaussian","l21","4198351a030cf6837b6a8f9d9e363f11a9a4e85cfe3d2d4faf0684626f1b8a3f","0","0.1","0.2154696132596685","0.20647143449387437","0.24911236258097888"
"devoted-sweep-121","yaleb","gaussian","l21","4198351a030cf6837b6a8f9d9e363f11a9a4e85cfe3d2d4faf0684626f1b8a3f","0","0.1","0.212707182320442","0.20662994658615516","0.2684202357477897"
"devoted-sweep-105","yaleb","gaussian","standard","6f5da43621ba885d1c62cf968b1b9670c567295760cfb60077a91c2869eccdb6","0","0.4","0.17495395948434622","0.3840904551838189","0.20456658922379628"
"morning-sweep-104","yaleb","gaussian","standard","6f5da43621ba885d1c62cf968b1b9670c567295760cfb60077a91c2869eccdb6","0","0.4","0.16022099447513813","0.383897285391588","0.20545509384431657"
"rose-sweep-103","yaleb","gaussian","standard","6f5da43621ba885d1c62cf968b1b9670c567295760cfb60077a91c2869eccdb6","0","0.4","0.16298342541436464","0.3866491267695191","0.18646344881336163"
"young-sweep-102","yaleb","gaussian","standard","6f5da43621ba885d1c62cf968b1b9670c567295760cfb60077a91c2869eccdb6","0","0.4","0.1685082872928177","0.3829678841028774","0.20829413502390723"
"stilted-sweep-101","yaleb","gaussian","standard","6f5da43621ba885d1c62cf968b1b9670c567295760cfb60077a91c2869eccdb6","0","0.4","0.15699815837937384","0.3849631213847693","0.1921561236506444"
"cosmic-sweep-100","yaleb","gaussian","standard","69abdb6b71a8ebb5166d9fe9dfb18c063c94951e264752d1e268920e86787d85","0","0.2","0.2030386740331492","0.2470286649979144","0.26650250940637765"
"divine-sweep-99","yaleb","gaussian","standard","69abdb6b71a8ebb5166d9fe9dfb18c063c94951e264752d1e268920e86787d85","0","0.2","0.214548802946593","0.2469554267401027","0.26533308169697345"
"flowing-sweep-98","yaleb","gaussian","standard","69abdb6b71a8ebb5166d9fe9dfb18c063c94951e264752d1e268920e86787d85","0","0.2","0.19244935543278088","0.24795828361028244","0.2584362657534861"
"deep-sweep-97","yaleb","gaussian","standard","69abdb6b71a8ebb5166d9fe9dfb18c063c94951e264752d1e268920e86787d85","0","0.2","0.2223756906077348","0.24541639803404489","0.2723236979830334"
"warm-sweep-96","yaleb","gaussian","standard","69abdb6b71a8ebb5166d9fe9dfb18c063c94951e264752d1e268920e86787d85","0","0.2","0.20027624309392264","0.2481925168051684","0.2558612726188595"
"floral-sweep-95","yaleb","gaussian","standard","1767cbe8d0884ed46bc1e9da0617dcef1798532b938d90e106ebc9f40218dc48","0","0.1","0.2209944751381215","0.20756557964442143","0.2874441237870409"
"solar-sweep-94","yaleb","gaussian","standard","1767cbe8d0884ed46bc1e9da0617dcef1798532b938d90e106ebc9f40218dc48","0","0.1","0.21408839779005528","0.2072025444394486","0.2782057556627957"
